location,subplot,x,y,family,genus,species,max_diam,ba_m2,combined_diam,easting,northing,zone,AI_annual_min,AI_annual_mean,AI_annual_max,precip_annual_total,precip_annual_min,precip_annual_max,precip_season_SW,precip_season_SA,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh,leaf_area_cm2,max_height_m
high,1,15.1,14,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,3.3104228163114233,8.607099322409699e-4,3.310422816311423,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,15.1,22.3,Sapindaceae,Guioa,Guioa semiglauca,5.347606087887684,0.0022459945569128273,5.347606087887684,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,15.9,18.2,Sapindaceae,Guioa,Guioa semiglauca,15.979156286426294,0.020053841139464998,15.97915628642629,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,16.3,24.3,Moraceae,Streblus,Streblus brunonianus,3.0239439187460113,7.181866807021776e-4,3.023943918746011,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.727343808317383,6.418668723393349,0.40844901284105906,-1.980855,0.6483916252974833,-1.5820903649465572,5.477225575051661,6.1318624999999995,30
high,1,16.6,13.6,Sapindaceae,Diploglottis,Diploglottis australis,3.119436884601149,7.642620367272815e-4,3.119436884601149,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,1.9590698390273003,9.035258301376947,0.5011859217132896,NA,0.5237437917771388,-2.3225964319402737,5.916079783099616,83.93881288555193,35
high,1,17,17.6,Sapindaceae,Elattostachys,Elattostachys xylocarpa,3.183098861837907,7.957747154594767e-4,3.1830988618379066,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1734438326354883,6.42461046130754,0.5325711845057162,-2.1657375,0.7622785017299635,-2.1867553593056024,5,6.1684048749999985,25
high,1,17.5,23.5,Oleaceae,Olea,Olea paniculata,80.05493637522336,0.5033454124592169,80.05493637522336,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.646960544415086,7.746576510476668,0.37219666920622707,-1.75689,0.8101744073575904,-1.538219888650128,5.477225575051661,23.13638124999999,30
high,1,17.6,16.7,Boraginaceae,Ehretia,Ehretia acuminata,47.396342052766435,0.1764328832914231,47.396342052766435,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.839656906284805,8.371156503938842,0.36949853385636916,-1.7702550000000001,0.5479587994081858,-1.646932624855645,5.477225575051661,43.20629999999997,30
high,1,18.5,13,Lauraceae,Cryptocarya,Cryptocarya erythroxylon,8.467042972488832,0.005630583576705073,8.467042972488832,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,NA,NA,NA,NA,NA,NA,NA,NA,NA
high,1,18.6,2.6,Lauraceae,Neolitsea,Neolitsea australiensis,3.915211600060626,0.0012039275670186426,3.915211600060626,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.4248173339485977,7.8184353002156985,0.48327851473404604,NA,0.5999787459115454,-1.8238606611103134,3.872983346207417,24.860125000000007,15.000000000000002
